Reference, Value, Footprint, Datasheet, Mfr, PartNo
"C17","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C18","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C21","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C24","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C27","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C30","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C32","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C34","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C35","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C19","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C22","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C25","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C28","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C31","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C33","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C20","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C23","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C26","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C29","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"L3","LQM18FN4R7M00D ","Inductor_SMD:L_0201_0603Metric_Pad0.64x0.40mm_HandSolder","https://www.mouser.co.uk/datasheet/2/281/JELF243B-0012-1633801.pdf","~","~"
"C14","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C12","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"JP4","Jumper_NC_Small","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","~","~","~"
"C69","2.2uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C70","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C68","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C7","2.2uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"C9","2.2uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://datasheet.lcsc.com/szlcsc/1810201223_Taiyo-Yuden-LMK105BJ105KV-F_C87145.pdf","Taiyo Yuden","LMK105BJ105KV-F"
"U1","STM32MP157xAC","STM32MP151_LFBGA:BGA-361_19x19_16.0x16.0mm","https://www.st.com/resource/en/datasheet/stm32mp151c.pdf","~","~"
"TP1","TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~","~","~"
"U4","TPS54202DDC","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/tps54202.pdf","Texas Instruments","TPS54202DDCR"
"C2","22uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/KEM_C1006_X5R_SMD-1103249.pdf","Kemet","C1206C226M8PACTU"
"C8","22uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/KEM_C1006_X5R_SMD-1103249.pdf","Kemet","C1206C226M8PACTU"
"C10","22uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/KEM_C1006_X5R_SMD-1103249.pdf","Kemet","C1206C226M8PACTU"
"L2","4.7uH","Inductor_SMD:L_Bourns-SRN6028","https://datasheet.lcsc.com/szlcsc/1808311234_SXN-Shun-Xiang-Nuo-Elec-SMNR6028-4R7MT_C266428.pdf","Shun Xiang Nuo Elec","SMNR6028-4R7MT"
"C4","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","~","~"
"C6","56pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","~","~"
"R3","100K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","~","~"
"R4","82K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","~","~"
"Q1","DMG2302U","Package_TO_SOT_SMD:SOT-23","https://datasheet.octopart.com/DMG2302U-7-Diodes-Inc.-datasheet-103571615.pdf","DiodesInc","DMG2302U"
"U3","SE8233X2","Package_TO_SOT_SMD:SOT-23","https://datasheet.lcsc.com/szlcsc/1912111437_Seaward-Elec-SE8233X2_C437587.pdf","~","~"
"C1","1uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","~"
"C3","10uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","~"
"C5","22uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","https://www.mouser.co.uk/datasheet/2/212/KEM_C1006_X5R_SMD-1103249.pdf","Kemet","C1206C226M8PACTU"
"J9","Barrel_Jack","Connector_BarrelJack:BarrelJack_Horizontal","~","~","~"
"D2","D_Schottky","Diode_SMD:D_SOD-123F","~","~","~"
"D4","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","~","~"
"R19","2K2","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"D5","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","~","~"
"R20","2K2","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"D3","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","~","~"
"R18","2K2","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"SW2","SW_SPST","Button_Switch_SMD:Panasonic_EVQPUK_EVQPUB","https://industrial.panasonic.com/cdbs/www-data/pdf/ATK0000/ATK0000C382.pdf","~","~"
"C13","10nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","~"
"C15","10nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","~"
"JP5","Jumper_NC_Small","Jumper:SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm","~","~","~"
"J6","Conn_02x05_Odd_Even","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD","https://docs.rs-online.com/75e3/0900766b8142184e.pdf","Amphenol ICC","20021121-00010C4LF"
"J5","Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","~","~"
"R7","1K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R5","1K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R1","1K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R8","3K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"D1","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","~","~"
"R9","1K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"J1","Conn_01x27","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical","~","~","~"
"J3","Conn_01x27","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical","~","~","~"
"J4","Conn_01x27","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical","~","~","~"
"J2","Conn_01x27","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical","~","~","~"
"J7","Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","~","~"
"R12","47K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R13","47K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R40","47K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R41","47K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R42","47K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"J12","Micro_SD_Card","Molex_SDIO:Molex_SDIO_475710001","https://www.molex.com/molex/products/part-detail/memory_card_socket/0475710001","Molex","475710001"
"J14","USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","~","~","~"
"J8","USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","~","~","~"
"R16","0R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R17","0R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R43","47K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R44","47K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R45","47K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R46","47K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R47","47K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"J13","Micro_SD_Card","Molex_SDIO:Molex_SDIO_475710001","https://www.molex.com/molex/products/part-detail/memory_card_socket/0475710001","Molex","475710001"
"U2","MT41K256M16TW-107","Package_BGA:BGA-96_9.0x13.0mm_Layout2x3x16_P0.8mm","https://www.mouser.co.uk/datasheet/2/671/4Gb_DDR3L-1283964.pdf","Micron","MT41K256M16TW-107"
"C36","100nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","~"
"R10","240R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R11","240R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R6","10K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R15","10K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R14","100R","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"C52","100nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","~"
"C57","100nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","~"
"C62","100nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","~"
"C65","100nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","~"
"C43","100nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","~"
"C42","100nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","~"
"C41","100nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","~"
"C40","100nF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","~","~"
"R2","1K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
"R52","1K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","~","~"
